Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/21/2026 10:00 AM ET,"9735 NW 76 ST TAMARAC, 33321","$497,639.18",,"$497,639.18",CACE-24-008544,494105161170,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-008544&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494105161170
07/21/2026 10:00 AM ET,"3698 NW 39 ST LAUDERDALE LAKES, 33309","$159,843.85",,"$176,506.76",CACE-24-018158,494219101410,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-018158&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494219101410
07/21/2026 10:00 AM ET,"580 E CAMPUS CIR FORT LAUDERDALE, 33312","$447,393.66",,"$447,393.66",CACE-25-010761,504207021590,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-010761&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504207021590
07/21/2026 10:00 AM ET,"111 LAKE EMERALD DR 102 OAKLAND PARK, 33309","$111,872.69",,"$111,872.69",CACE-25-011443,494220AD0020,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-011443&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494220AD0020
07/21/2026 10:00 AM ET,"3650 ENVIRON BLVD 509 LAUDERHILL, 33319","$39,482.00",,"$39,838.96",CACE-25-013742,494122CD0490,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-013742&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494122CD0490
07/21/2026 10:00 AM ET,"4848 NW 24 CT 312 LAUDERDALE LAKES, 33313","$110,724.72",,"$113,300.00",CACE-25-016773,494125JH0880,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-016773&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494125JH0880
07/22/2026 10:00 AM ET,"3450 SW 17 ST FORT LAUDERDALE, 33312","$400,019.47",,"$400,019.47",CACE-23-016496,504218090810,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-016496&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504218090810
07/22/2026 10:00 AM ET,"3326 FARRAGUT ST 6-E HOLLYWOOD, 33021","$383,590.10",,"$383,590.10",CACE-24-002238,514205AA0390,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-002238&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514205AA0390
07/22/2026 10:00 AM ET,"3051 S PALM AIRE DR POMPANO BEACH, 33069","$75,221.51",,"$75,221.51",CACE-24-016354,494204CM0280,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-016354&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494204CM0280
07/22/2026 10:00 AM ET,"308 SW 80 TER NORTH LAUDERDALE, 33068","$202,804.44",,"$202,804.44",CACE-25-002488,494102080860,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-002488&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494102080860
07/22/2026 10:00 AM ET,"4461 SW 34 DR DANIA BEACH, 33312","$775,580.53",,"$775,580.53",CACE-25-002997,504230080220,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-002997&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504230080220
07/22/2026 10:00 AM ET,"12113 NW 33 ST SUNRISE, 33323","$457,867.35",,"$457,867.35",CACE-25-007478,494024122120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-007478&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494024122120
07/22/2026 10:00 AM ET,"4700 TAFT ST HOLLYWOOD, 33021","$747,454.17",,"$646,000.00",CACE-25-011743,514207132960,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-011743&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514207132960
07/22/2026 10:00 AM ET,"9420 NW 24 PL PEMBROKE PINES, 33024","$467,895.25",,Hidden,CACE-25-013698,514108060120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-013698&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514108060120
07/22/2026 10:00 AM ET,"19315 SW 24 ST MIRAMAR, 33029","$21,857.76",,"$1,251,721.66",CACE-25-016604,TIMESHARE,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-016604&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=TIMESHARE
07/23/2026 10:00 AM ET,"13382 LAKEPOINTE CIR COOPER CITY, 33330","$15,458.47",,"$23,900.00",CACE-23-021250,504035082010,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-021250&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504035082010
07/23/2026 10:00 AM ET,"3028 S OAKLAND FOREST DR 3205 OAKLAND PARK, 33309","$137,248.66",,"$137,248.66",CACE-24-011211,494220CB0750,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-011211&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494220CB0750
07/23/2026 10:00 AM ET,"8489 NW 43 CT CORAL SPRINGS, 33065","$770,444.62",,"$770,444.62",CACE-25-005443,484115152840,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-005443&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484115152840
07/23/2026 10:00 AM ET,"4040 GALT OCEAN DR 511 FORT LAUDERDALE, 33308","$66,204.06",,"$71,966.15",CACE-25-007347,494319CM1120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-007347&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494319CM1120
07/23/2026 10:00 AM ET,"5059 NW 42 ST LAUDERDALE LAKES, 33319","$7,919.07",,"$7,919.07",CACE-25-016380,494124130840,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-016380&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494124130840
07/23/2026 10:00 AM ET,"4250 NW 55 DR COCONUT CREEK, 33073","$8,343.31",,"$8,343.31",CACE-25-017818,484208060720,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-017818&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484208060720
07/23/2026 10:00 AM ET,"3370 NW 21 CT COCONUT CREEK, 33066","$5,547.06",,"$5,547.06",CACE-25-018558,484229160580,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-018558&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484229160580
07/23/2026 10:00 AM ET,"10861 NW 35 PL SUNRISE, 33351","$9,715.48",,"$9,715.48",CACE-26-000767,494119240400,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-000767&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494119240400
07/24/2026 10:00 AM ET,"460 LAKEVIEW DR 3 WESTON, 33326","$6,040.57",,"$6,040.57",COCE-25-047596,504006CK0390,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COCE-25-047596&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504006CK0390
07/24/2026 10:00 AM ET,"9801 NW 58 CT PARKLAND, 33076","$10,890.66",,"$10,890.66",COWE-25-067830,484104011870,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COWE-25-067830&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484104011870
07/24/2026 10:00 AM ET,"4253 SW 124 TER MIRAMAR, 33027","$9,742.91",,"$9,742.91",COWE-26-021926,514035141360,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COWE-26-021926&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514035141360
07/28/2026 10:00 AM ET,"2301 NW 102 AVE PEMBROKE PINES, 33026","$361,765.76",,"$361,765.76",CACE-16-016939,514107041150,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-16-016939&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514107041150
07/28/2026 10:00 AM ET,"1313 SW 75 AVE NORTH LAUDERDALE, 33068","$436,119.01",,"$436,119.01",CACE-18-027297,494102141741,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-18-027297&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494102141741
07/28/2026 10:00 AM ET,"4956 ROTHSCHILD DR CORAL SPRINGS, 33067","$493,927.22",,"$493,927.22",CACE-19-023537,484111060480,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-19-023537&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484111060480
07/28/2026 10:00 AM ET,"37 FORT ROYAL ISLE FORT LAUDERDALE, 33308","$1,592,151.30",,"$1,592,151.30",CACE-22-002484,494319031270,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-22-002484&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494319031270
07/28/2026 10:00 AM ET,"530 E MELROSE CIR FORT LAUDERDALE, 33312","$464,035.57",,"$464,035.57",CACE-23-016206,504207021720,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-016206&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504207021720
07/28/2026 10:00 AM ET,"10275 SW 24 ST MIRAMAR, 33025","$424,052.74",,"$424,052.74",CACE-24-000407,514119092240,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-000407&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514119092240
07/28/2026 10:00 AM ET,"4128 SW 183 AVE MIRAMAR, 33029","$602,022.66",,"$602,022.66",CACE-24-013582,514031031850,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-013582&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514031031850
07/28/2026 10:00 AM ET,"6081 GRAND CYPRESS CIR W COCONUT CREEK, 33073","$226,758.36",,"$226,758.36",CACE-25-006823,484206420980,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-006823&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484206420980
07/28/2026 10:00 AM ET,"5380 NW 32 CT MARGATE, 33063","$226,311.29",,"$226,311.29",CACE-25-010858,484219031080,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-010858&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484219031080
07/28/2026 10:00 AM ET,"6890 ROYAL PALM BLVD MARGATE, 33063","$175,788.69",,"$175,788.69",CACE-25-011292,484125BD0280,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-011292&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484125BD0280
07/29/2026 10:00 AM ET,"1481 NW 104 AVE PLANTATION, 33322","$518,374.24",,"$518,374.24",CACE-20-001203,494131071590,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-20-001203&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494131071590
07/29/2026 10:00 AM ET,"9571 ASHLEY DR MIRAMAR, 33025","$229,646.67",,"$229,646.67",CACE-22-002423,514120080480,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-22-002423&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514120080480
07/29/2026 10:00 AM ET,"3519 SW 15 CT FORT LAUDERDALE, 33312","$419,342.86",,"$419,342.86",CACE-22-014096,504218210600,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-22-014096&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504218210600
07/29/2026 10:00 AM ET,"13085 ADDILYN CT DAVIE, 33325","$1,041,747.63",,"$1,041,747.63",CACE-24-003326,504011300120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-003326&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504011300120
07/29/2026 10:00 AM ET,"3850 SW 124 AVE MIRAMAR, 33027","$612,163.22",,"$612,163.22",CACE-24-005649,514026010076,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-005649&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514026010076
07/29/2026 10:00 AM ET,"4921 NW 11 PL LAUDERHILL, 33313","$219,656.52",,"$219,656.52",CACE-24-008842,494136031270,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-008842&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494136031270
07/29/2026 10:00 AM ET,"142 NW 8 AVE DANIA BEACH, 33004","$308,360.96",,"$308,360.96",CACE-24-017522,504234014041,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-017522&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504234014041
07/29/2026 10:00 AM ET,"1141 NW 29 WAY UNINCORPORATED, 33301","$158,045.13",,Hidden,CACE-25-002066,494232080060,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-002066&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494232080060
07/29/2026 10:00 AM ET,"10340 NW 10 CT PLANTATION, 33322","$304,373.04",,Hidden,CACE-25-004309,494131140880,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-004309&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494131140880
07/29/2026 10:00 AM ET,"8021 SUNRISE LAKES DR N SUNRISE, 33322","$171,463.18",,"$171,463.18",CACE-25-005412,494128CH0340,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-005412&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494128CH0340
07/30/2026 10:00 AM ET,"2950 N PALM AIRE DR POMPANO BEACH, 33069","$150,890.17",,"$150,890.17",CACE-23-014031,494204AK0330,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-014031&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494204AK0330
07/30/2026 10:00 AM ET,"317 SE 7 AVE DEERFIELD BEACH, 33441","$672,908.89",,"$672,908.89",CACE-24-005931,484306330290,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-005931&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484306330290
07/30/2026 10:00 AM ET,"7111 NW 68 AVE TAMARAC, 33321","$306,023.79",,"$306,023.79",CACE-24-006273,494103031940,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-006273&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494103031940
07/30/2026 10:00 AM ET,"3535 JACKSON BLVD FORT LAUDERDALE, 33312","$286,007.28",,"$286,007.28",CACE-24-010939,504207052710,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-010939&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504207052710
07/30/2026 10:00 AM ET,"2061 NW 46 AVE LAUDERHILL, 33313","$45,383.50",,"$45,383.50",CACE-24-017795,494125GG1370,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-017795&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494125GG1370
07/30/2026 10:00 AM ET,"4141 NW 26 ST LAUDERHILL, 33313","$102,512.07",,"$102,512.07",CACE-25-000856,494125GD0540,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-000856&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494125GD0540
07/30/2026 10:00 AM ET,"1531 NE 35 ST OAKLAND PARK, 33334","$1,031,342.45",,Hidden,CACE-25-009197,494223061681,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-009197&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494223061681
07/30/2026 10:00 AM ET,"840 W PALM RUN DR NORTH LAUDERDALE, 33068","$373,225.26",,"$373,225.26",CACE-25-012241,494101390210,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-012241&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494101390210
07/30/2026 10:00 AM ET,"1401 SW 135 TER PEMBROKE PINES, 33027","$16,756.40",,"$16,756.40",CACE-26-000650,514014AJ1240,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-000650&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514014AJ1240
07/31/2026 10:00 AM ET,"9925 NW 45 ST SUNRISE, 33351","$10,624.77",,"$10,624.77",COCE-25-088956,494117190490,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COCE-25-088956&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494117190490
07/31/2026 10:00 AM ET,"8203 NW 57 CT TAMARAC, 33321","$9,366.50",,"$9,366.50",CONO-26-013946,494109022180,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CONO-26-013946&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494109022180
08/04/2026 10:00 AM ET,"2751 S OCEAN DR HOLLYWOOD, 33019","$868,593.03",,"$868,593.03",CACE-23-002601,514224BB2510,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-002601&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514224BB2510
08/04/2026 10:00 AM ET,"195 NW 14 WAY DANIA BEACH, 33004","$586,060.46",,"$586,060.46",CACE-23-020872,504233120150,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-020872&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504233120150
08/04/2026 10:00 AM ET,"1010 W JASMINE LN NORTH LAUDERDALE, 33068","$167,517.96",,"$167,517.96",CACE-24-006544,494101400170,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-006544&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494101400170
08/04/2026 10:00 AM ET,"3050 W BUENA VISTA DR MARGATE, 33063","$542,992.79",,"$542,992.79",CACE-24-006801,484124310640,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-006801&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484124310640
08/04/2026 10:00 AM ET,"16464 NW 13 ST PEMBROKE PINES, 33028","$187,426.06",,"$187,426.06",CACE-24-009886,514008146850,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-009886&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514008146850
08/04/2026 10:00 AM ET,"3900 GALT OCEAN DR FORT LAUDERDALE, 33308","$104,155.22",,"$106,923.58",CACE-24-012974,494319BM1220,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-012974&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494319BM1220
08/04/2026 10:00 AM ET,"6632 EMERALD LAKE DR MIRAMAR, 33023","$405,223.24",,"$405,223.24",CACE-25-009175,514126140110,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-009175&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514126140110
08/04/2026 10:00 AM ET,"2420 DIANA DR HALLANDALE BEACH, 33009","$233,206.54",,"$233,206.54",CACE-25-009191,514226DM0160,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-009191&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514226DM0160
08/04/2026 10:00 AM ET,"4046 NW 19 ST LAUDERHILL, 33313","$12,087.68",,"$12,087.68",CACE-25-009514,494136DG0210,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-009514&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494136DG0210
08/04/2026 10:00 AM ET,"114 LAKE EMERALD DR OAKLAND PARK, 33309","$108,396.29",,"$108,396.29",CACE-25-009656,494220AG0740,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-009656&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494220AG0740
08/05/2026 10:00 AM ET,"616 NW 20 ST POMPANO BEACH, 33060",$0.00,,"$365,858.41",CACE-23-000165,Property,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-000165&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=Property
08/05/2026 10:00 AM ET,"1000 SAINT CHARLES PL PEMBROKE PINES, 33026","$346,478.56",,"$346,478.56",CACE-25-010537,514107AH1350,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-010537&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514107AH1350
08/05/2026 10:00 AM ET,"4002 HARWOOD C DEERFIELD BEACH, 33442","$15,502.52",,"$15,502.52",CACE-25-019546,484202DJ0740,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-019546&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484202DJ0740
08/05/2026 10:00 AM ET,"6555 W BROWARD BLVD PLANTATION, 33317","$184,308.54",,"$184,308.54",CACE-26-002763,504103CA0450,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-002763&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504103CA0450
08/05/2026 10:00 AM ET,"221 NW 28 AVE UNINCORPORATED, 33311","$218,599.20",,"$218,599.20",CACE-26-004770,504205130580,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-004770&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504205130580
08/06/2026 10:00 AM ET,"1521 SW 97 AVE PEMBROKE PINES, 33025","$11,578.54",,"$11,578.54",CACE-25-014450,514120180680,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-014450&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514120180680
08/06/2026 10:00 AM ET,"1533 W RIVER DR MARGATE, 33063","$243,133.20",,"$243,133.20",CACE-25-014829,484125050780,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-014829&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484125050780
08/06/2026 10:00 AM ET,"1817 S OCEAN DR HALLANDALE BEACH, 33009","$20,608.22",,"$20,608.22",CACE-26-003082,514226AL2000,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-003082&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514226AL2000
08/06/2026 10:00 AM ET,"6516 WILEY ST HOLLYWOOD, 33023","$266,316.99",,"$266,316.99",CACE-26-007394,514123030710,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-007394&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514123030710
08/07/2026 10:00 AM ET,"306 REPUBLIC CT DEERFIELD BEACH, 33442","$18,818.07",,"$18,818.07",COCE-25-060300,484209AG0180,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COCE-25-060300&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484209AG0180
08/07/2026 10:00 AM ET,"8631 NW 80 ST TAMARAC, 33321","$8,467.69",,"$8,467.69",CONO-24-049683,494104460060,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CONO-24-049683&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494104460060
